publication_year,name,author,read,genre,format
1858,Doctor Thorne,Anthony Trollope,0,Fiction,audio
1949,The Hero with a Thousand Faces,Joseph Campbell,0,Non-Fiction,audio
2002,Abraham Lincoln: The Prairie Years and The War Years,Carl Sandburg,0,Non-Fiction,audio
2016,One Wild Bird at a Time: Portraits of Individual Lives,Bernd Heinrich,0,Non-Fiction,audio
1978,A Distant Mirror: The Calamitous Fourteenth Century,Barbara W. Tuchman,0,Non-Fiction,audio
1838,Nicholas Nickleby,Charles Dickens,0,Fiction,audio
1990,The Rise and Fall of the Third Reich: A History of Nazi Germany,William L. Shirer,0,Modern History,audio
2011,The Origins of Political Order: From Prehuman Times to the French Revolution,Francis Fukuyama,0,Non-Fiction,audio
2013,The Enlightenment: And Why It Still Matters,Anthony Pagden,0,Non-Fiction,audio
2015,The Economics of Inequality,Thomas Piketty,0,Non-Fiction,audio
1954,I Am Legend,Richard Matheson,0,Sci-Fi,audio
1836,The Pickwick Papers,Charles Dickens,0,Fiction,audio
2006,Tobruk,Peter FitzSimons,0,Modern History,audio
1999,Black Hawk Down,Mark Bowden,0,Non-Fiction,audio
2015,Life's Engines: How Microbes Made Earth Habitable,Paul G. Falkowski,0,Science,audio
2014,Debt - Updated and Expanded: The First 5000 Years,David Graeber,0,History,audio
1964,The Deep Blue Good-By,John D. MacDonald,0,Fiction,audio
1964,Nightmare in Pink,John D. MacDonald,0,Fiction,audio
1975,The Greatest: My Own Story,Muhammad Ali and Herbert Muhammad and Richard Durham,1,Biography,audio
2007,Time Traveler: A Scientist's Personal Mission to Make Time Travel a Reality,Ronald L. Mallett,0,Non-Fiction,audio
2016,Are We Smart Enough to Know How Smart Animals Are?,Frans de Waal,0,Non-Fiction,audio
1977,Gateway,Frederik Pohl,0,Sci-Fi,audio
2016,Algorithms to Live By: The Computer Science of Human Decisions,Brian Christian and Tom Griffiths,0,Non-Fiction,audio
2007,The History of the Ancient World: From the Earliest Accounts to the Fall of Rome,Susan Wise Bauer,1,History,audio
1989,Panzer Commander: The Memoirs of Colonel Hans von Luck,Hans von Luck,0,War Memoir,audio
2015,Chasing the Scream: The First and Last Days of the War on Drugs,Johann Hari,0,Non-Fiction,audio
1991,There Are No Children Here: The Story of Two Boys Growing Up in the Other America,Alex Kotlowitz,1,Non-Fiction,audio
2013,Off to Be the Wizard,Scott Meyer,0,Comic Fantasy,audio
1996,Hogfather,Terry Pratchett,1,Comic Fantasy,audio
