publication_year,name,author,read,genre,format
1900,,,0,,
1901,,,0,,
1902,,,0,,
1903,,,0,,
1904,,,0,,
1905,Where Angels Fear to Tread,E.M. Forster,1,,audio
1906,,,0,,
1907,,,0,,
1908,A Room with a View,E.M. Forster ,1,,audio
1909,The shadow on the dial,Ambrose Bierce,0,,ebook
1910,Literary Lapses,Stephen Leacock,1,,ebook
1910,Howards End,E.M. Forster ,1,,
1911,Ethan Frome,Edith Wharton,0,,physical
1912,,,0,,
1913,,,0,,
1914,,,0,,
1915,,,0,,
1916,,,0,,
1917,,,0,,
1918,,,0,,
1919,,,0,,
1920,,,0,,
1921,,,0,,
1922,,,0,,
1923,,,0,,
1924,,,0,,
1925,,,0,,
1926,Introduction to Sally,Elizabeth von Arnim ,1,,physical
1927,,,0,,
1928,All Quiet on the Western Front,Erich Maria Remarque,1,War Memoir,audio
1929,Expiation,Elizabeth von Arnim ,1,Fiction,physical
1930,,,0,,
1931,Father ,Elizabeth von Arnim ,1,Fiction,physical
1932,,,0,,
1933,,,0,,
1934,The Jasmine Farm,Elizabeth von Arnim ,1,,physical
1935,,,0,,
1936,,,0,,
1937,,,0,,
1938,,,0,,
1939,The Big Sleep,Raymond Chandler,1,Crime,audio
1940,Farewell My Lovely ,Raymond Chandler,1,Crime,audio
1941,Blithe Spirit,Noël Coward,1,Fiction,audio
1942,The Screwtape Letters,C. S. Lewis,1,Fiction,audio
1943,,,0,,
1944,The Lady in the Lake,Raymond Chandler,1,Crime,audio
1945,,,0,,
1946,Skyscrapers in the mist,George Henry Johnston,1,War Memoir,physical
1947,One Fine Day,Mollie Panter-Downes,1,War Memoir,physical
1948,,,0,,
1949,King Solomon's Ring,Konrad Z. Lorenz,1,nature,library
1950,And so to Rome,Cecil Roberts ,1,Travel,physical
1951,,,0,,
1952,,,0,,
1953,A Kiss Before Dying,Ira Levin ,1,Crime,audio
1954,The Body Snatchers,Jack Finney,1,Sci-Fi,audio
1954,Bhowani Junction,John Masters,1,Fiction,physical
1955,,,0,,
1956,,,0,,
1957,Why I am not a Christian,Bertrand Russell,1,Philosophy,physical
1958,Immortality Inc.,Robert Sheckley,1,Sci-Fi,audio
1959,Flowers for Algernon,Daniel Keyes,1,Sci-Fi,audio
1960,Night,Elie Wiesel,1,War Memoir,audio 
1961,The Prime of Miss Jean Brodie,Muriel Spark,1,Fiction,audio
1961,Solaris, Stanisław Lem,1,Sci-Fi,audio
1962,,,0,,
1963,Orphans of the Sky,Robert A. Heinlein,1,Sci-Fi,audio
1964,Zorba the Greek,Nikos Kazantzakis,1,Fiction,audio
1965,The Game of X,Robert Sheckley,1,Sci-Fi,audio
1966,Mindswap,Robert Sheckley,1,Sci-Fi,audio
1967,The Master and Margarita,Mikhail Bulgakov,1,Fiction,audio
1968,Dimension of miracles,Robert Sheckley,1,Sci-Fi,audio
1968,Heart of a Dog,Mikhail Bulgakov,1,Fiction,audio
1969,,,0,,
1970,Being There,Jerzy Kosiński,1,Fiction,audio
1971,,,0,,
1972,Watership down,Richard Adams,1,Fiction,audio
1973,,,0,,
1974,Flow my tears the policeman said,Philip K Dick,1,Sci-Fi,audio
1975,Periodic Table,Primo Levi,1,Biography,physical 
1976,,,0,,
1977,,,0,,
1978,Another Fine Myth,Robert Lynn Asprin,1,Comic Fantasy,audio
1979,The Hitchhiker's Guide to the Galaxy,Douglas Adams,1,Sci-Fi,ebook
1980,The Restaurant at the End of the Universe,Douglas Adams,1,Sci-Fi,ebook
1981,With the Old Breed: At Peleliu and Okinawa,Eugene Sledge,1,War Memoir,audio
1982,Life the Universe and Everything,Douglas Adams,1,Sci-Fi,ebook
1983,The Colour of Magic,Terry Pratchett,1,Comic Fantasy,ebook
1984,So long and Thanks for All the Fish,Douglas Adams,1,Sci-Fi,ebook
1985,,,0,,
1986,,,0,,
1987,Mort,Terry Pratchett,1,Comic Fantasy,audio
1988,Sourcery,Terry Pratchett,1,Comic Fantasy,audio
1989,Guards! Guards!,Terry Pratchett,1,Comic Fantasy,audio
1990,Journey through Genius,William Dunham,1,Non-Fiction,physical
1990,Good Omens,Neil Gaiman and Terry Pratchett,1,Comic Fantasy,audio
1991,Reaper Man,Terry Pratchett,1,Comic Fantasy,audio
1992,Mostly Harmless,Douglas Adams,1,Sci-Fi,ebook
1993,,,0,,
1994,Interesting Times,Terry Pratchett,1,Comic Fantasy,physical
1995,,,0,,
1996,A History of Reading,Alberto Manguel,1,Non-Fiction,physical 
1997,Angela's Ashes,Frank McCourt,1,Memoir,audio
1998,The First World War,John Keegan,1,Modern History,physical
1999,Life in the Treetops,Margaret D. Lowman,1,,physical
1999,Notes from a Big Country,Bill Bryson,1,Travel,physical
1999,The Science of Discworld,Terry Pratchett and Ian Stewart and Jack Cohen,1,,ebook
